Date,Term,Rate
2013-01-28,61,0.00077426
2013-01-28,91,0.000433131
2013-01-28,122,0.000220811
2013-01-28,152,0.000131792
2013-01-28,182,0.000120832
2013-01-28,213,0.00015694
2013-01-28,243,0.000179904
2013-01-28,273,0.000106634
2013-01-28,304,9.95117E-05
2013-01-28,335,0.000211232
2013-01-28,365,0.000248463
2013-01-28,395,0.000245444
2013-01-28,425,0.000261453
2013-01-28,456,0.00029563
2013-01-28,486,0.000341827
2013-01-28,516,0.000398317
2013-01-28,547,0.00046564
2013-01-28,577,0.000532128
2013-01-28,607,0.000585903
2013-01-28,638,0.000628803
2013-01-28,668,0.000656237
2013-01-28,698,0.000677485
2013-01-28,730,0.000695836
2013-01-28,1095,0.000943802
2013-01-28,1460,0.002042324
2013-01-28,1825,0.003976217
2013-01-28,2190,0.006312305
2013-01-28,2555,0.008952629
2013-01-28,2920,0.010456246
2013-01-28,3285,0.011683694
2013-01-28,3650,0.012091086
2013-01-28,4380,0.012556841
2013-01-28,5475,0.012264921
2013-01-28,7300,0.010642496
2013-01-28,9125,0.008787694
2013-01-28,10950,0.00709212
2013-01-28,14600,0.006767943
2013-01-28,18250,0.007881996
2013-01-29,0,0.001447011
2013-01-29,1,0.001444257
2013-01-29,2,0.001461774
2013-01-29,7,0.00166572
2013-01-29,14,0.001579513
2013-01-29,30,0.001212328
2013-01-29,61,0.000745005
2013-01-29,91,0.000392245
2013-01-29,122,0.000172953
2013-01-29,152,8.02419E-05
2013-01-29,182,6.62275E-05
2013-01-29,213,9.90248E-05
2013-01-29,243,0.00011432
2013-01-29,273,6.52609E-05
2013-01-29,304,6.30527E-05
2013-01-29,335,0.000163049
2013-01-29,365,0.000274732
2013-01-29,395,0.000247737
2013-01-29,425,0.00024383
2013-01-29,456,0.00026021
